bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
8339,12    Cep,21,47,25,60,41,34,102.22,5.45,5.52,2952,M1IIIb,6
5510,,14,45,14,32,47,18,52.83,64.79,6.28,6834,M1IIIb,6
3999,,10,9,22,-61,32,57,284.85,-4.51,5.60,3231,M2-3IIIe,6
8316,Mu  Cep,21,43,30,58,46,48,100.60,4.32,4.08,571,M2-Ia,6
3950,29Pi  Leo,10,0,13,8,2,39,230.01,45.26,4.70,1124,M2-IIIab,6
8775,53Bet Peg,23,3,47,28,4,58,95.74,-29.05,2.42,85,M2.5II-III,6
2245,Eta2Dor,6,11,15,-65,35,22,275.31,-28.65,5.01,1634,M2.5III,6
7680,,20,5,27,15,30,1,55.36,-8.64,6.34,7325,M2.5III,6
256,,0,55,5,48,40,43,123.55,-14.19,6.27,6728,M2.5IIIa,6
6200,42    Her,16,38,45,48,55,42,75.61,41.58,4.90,1432,M2.5IIIab,6
7238,,19,4,58,30,44,0,62.05,10.83,6.06,5413,M2.5IIIab,6
6463,,17,21,33,16,43,51,38.69,27.20,6.35,7391,M2.5IIIab,6
8698,73Lam Aqr,22,52,37,-7,34,47,62.19,-55.73,3.74,378,M2.5IIIaFe-1,6
9036,81Phi Peg,23,52,29,19,7,13,104.18,-41.60,5.08,1793,M2.5IIIb,6
1155,,3,49,31,65,31,34,140.02,8.75,4.47,866,M2+IIab,6
45,89Chi Peg,0,14,36,20,12,24,111.30,-41.83,4.80,1253,M2+III,6
8860,8    And,23,17,45,49,0,55,107.53,-11.03,4.85,1364,M2+IIIBa0.3,6
3364,,8,30,30,-36,43,16,256.21,1.50,6.69,8910,M2Iab,6
1845,119    Tau,5,32,13,18,35,40,187.18,-8.07,4.38,787,M2Iab-Ib,6
2902,,7,33,48,-14,31,26,230.67,2.52,4.97,1552,M2Iabpe+B2V,6
8383,,21,56,39,63,37,32,104.92,7.05,4.91,1456,M2Iaep+B8Ve,6
2203,,6,10,10,-40,21,13,247.37,-24.63,5.58,3140,M2II-III,6
4755,,12,29,58,-41,44,10,298.64,20.96,6.02,5171,M2II-III,6
3027,,7,47,45,-16,0,52,233.62,4.72,6.43,7942,M2II-III,6
5133,,13,37,43,50,42,53,105.56,64.82,6.48,8263,M2II-III+K3III:,6
7536,7Del Sge,19,47,23,18,32,3,55.77,-3.38,3.82,417,M2II+A0V,6
1208,Gam Hyi,3,47,14,-74,14,20,289.13,-37.80,3.24,221,M2III,6
1162,26Pi  Eri,3,46,9,-12,6,6,201.55,-46.47,4.42,819,M2III,6
5095,74    Vir,13,31,58,-6,15,21,320.78,55.21,4.69,1112,M2III,6
4162,,10,37,14,-27,24,45,269.64,26.65,4.89,1417,M2III,6
8991,77    Peg,23,43,22,10,19,53,96.87,-49.06,5.06,1749,M2III,6
7900,15Ups Cap,20,40,3,-18,8,19,27.57,-31.87,5.10,1827,M2III,6
2639,,7,1,56,-5,43,20,219.22,-0.28,5.20,2049,M2III,6
689,69    Cet,2,21,57,0,23,45,164.95,-54.92,5.28,2246,M2III,6
2168,19    Lep,6,7,42,-19,9,57,225.72,-18.01,5.31,2330,M2III,6
6991,,18,39,35,-43,11,10,352.23,-16.17,5.37,2488,M2III,6
6001,,16,8,8,-26,19,36,348.63,18.62,5.38,2520,M2III,6
6055,,16,16,43,-53,48,40,330.40,-2.27,5.44,2677,M2III,6
9082,,0,1,20,-50,20,14,321.98,-64.90,5.53,2987,M2III,6
1004,,3,19,35,-24,7,23,216.21,-56.59,5.61,3254,M2III,6
5123,,13,36,59,24,36,48,21.68,79.45,5.74,3774,M2III,6
564,,1,57,44,27,48,16,140.40,-32.81,5.82,4151,M2III,6
2635,,7,2,34,16,40,27,199.18,9.91,5.82,4159,M2III,6
5767,,15,34,2,-40,3,58,333.69,12.90,5.82,4173,M2III,6
5215,,13,51,9,34,39,52,67.10,75.16,5.87,4374,M2III,6
3793,,9,30,23,-58,21,42,279.04,-5.15,5.88,4414,M2III,6
4284,,10,59,31,-16,21,14,267.68,38.74,5.89,4464,M2III,6
4336,,11,9,39,43,12,27,168.30,63.89,5.89,4465,M2III,6
4224,,10,48,41,-1,57,32,252.55,48.53,5.93,4677,M2III,6
5584,,14,59,23,4,34,4,2.14,52.07,5.93,4685,M2III,6
601,,2,2,35,13,28,36,148.19,-45.88,5.94,4714,M2III,6
3915,,9,53,43,5,57,30,231.32,42.80,5.95,4785,M2III,6
4607,,12,4,57,-60,58,9,297.32,1.40,5.96,4853,M2III,6
6643,,17,51,33,-40,46,21,350.43,-7.10,5.96,4861,M2III,6
4278,,10,59,33,36,5,35,185.24,64.66,6.00,5048,M2III,6
4379,,11,17,19,-67,49,25,294.21,-6.56,6.06,5390,M2III,6
3290,21    Cnc,8,23,55,10,37,55,213.68,25.32,6.08,5491,M2III,6
625,,2,8,46,-17,46,46,189.29,-69.87,6.10,5582,M2III,6
284,,0,59,50,6,28,59,126.69,-56.33,6.11,5645,M2III,6
9035,,23,52,23,21,40,15,105.15,-39.15,6.11,5720,M2III,6
7547,,19,47,27,47,54,28,81.40,11.19,6.12,5776,M2III,6
3041,,7,48,9,-40,39,8,255.03,-7.57,6.14,5882,M2III,6
8763,82    Aqr,23,2,33,-6,34,27,66.44,-56.97,6.15,5998,M2III,6
9055,,23,56,42,22,38,53,106.73,-38.50,6.15,6001,M2III,6
973,,3,16,5,45,20,45,147.87,-10.41,6.16,6005,M2III,6
7492,,19,40,41,43,4,40,76.50,9.95,6.16,6050,M2III,6
4586,,12,0,19,80,51,11,125.42,36.03,6.17,6094,M2III,6
304,,1,2,43,-65,27,22,301.05,-51.63,6.21,6335,M2III,6
1667,,5,5,1,-54,24,27,262.23,-37.07,6.27,6735,M2III,6
435,,1,29,30,-46,45,23,284.52,-68.99,6.31,7012,M2III,6
1032,,3,30,20,71,51,50,134.70,12.72,6.32,7097,M2III,6
